Dish ID,Ingredient ID,Ingredient Name,Mass (grams),Calories (kcal),Fat (grams),Carbs (grams),Protein (grams)
dish_1561662054,ingr_0000000312,pepper,0.300716,0.1202864,0.000601432,0.027966588,0.00601432
dish_1561662054,ingr_0000000026,white rice,12.028640,15.637232,0.03608592,3.3680192,0.32477328
dish_1561662054,ingr_0000000029,mixed greens,75.281570,21.0788396,0.30112628,3.98992321,1.65619454
dish_1561662054,ingr_0000000122,garlic,3.007160,4.4806684,0.0150358,0.9923628,0.19245824
dish_1561662054,ingr_0000000508,soy sauce,4.811456,2.55007168,0.028868736,0.235761344,0.389727936
dish_1561662054,ingr_0000000513,millet,12.045051,14.33361069,0.12045051,2.854677087,0.421576785
dish_1561662054,ingr_0000000520,lemon juice,3.011263,0.51191471,0.0,0.168630728,0.012045052
dish_1561662054,ingr_0000000525,bok choy,12.028640,1.5637232,0.02405728,0.26463008,0.1804296
dish_1561662054,ingr_0000000161,olive oil,11.442798,101.15433432,11.442798,0.0,0.0
dish_1561662054,ingr_0000000094,onions,6.022525,2.40901,0.006022525,0.54202725,0.066247775
dish_1561662054,ingr_0000000189,vinegar,3.011263,0.0,0.0,0.0,0.0
dish_1561662054,ingr_0000000043,green beans,39.000000,12.09,0.039,2.73,0.702
dish_1561662054,ingr_0000000462,pork,84.200478,200.39713764,11.78806692,0.0,21.89212428
dish_1561662054,ingr_0000000054,apple,15.056313,7.82928276,0.030112626,2.10788382,0.045168939
dish_1561662054,ingr_0000000328,sugar,9.021480,35.0033424,0.0,9.02148,0.0
dish_1561662054,ingr_0000000291,salt,0.977840,0.0,0.0,0.0,0.0
dish_1561662054,ingr_0000000524,parsley,0.752816,0.279294736,0.006022528,0.048180224,0.021831664
dish_1563381680,ingr_0000000004,bacon,6.000000,32.46,2.52,0.084,2.22
dish_1566417398,ingr_0000000126,mustard,0.406360,0.24909868,0.01340988,0.0243816,0.01503532
dish_1566417398,ingr_0000000189,vinegar,2.600707,0.0,0.0,0.0,0.0
dish_1566417398,ingr_0000000029,mixed greens,32.508835,9.1024738,0.13003534,1.722968255,0.71519437
dish_1566417398,ingr_0000000528,celery root,2.600707,1.09229694,0.007802121,0.239265044,0.039010605
dish_1566417398,ingr_0000000161,olive oil,5.201414,45.98049976,5.201414,0.0,0.0
dish_1566417398,ingr_0000000291,salt,0.081272,0.0,0.0,0.0,0.0
dish_1566417398,ingr_0000000471,cherry tomatoes,2.600707,0.46812726,0.005201414,0.101427573,0.023406363
dish_1551307090,ingr_0000000061,potato chips,20.000000,107.2,7.0,10.6,1.4
dish_1551307090,ingr_0000000004,bacon,11.000000,59.51,4.62,0.154,4.07
dish_1551307090,ingr_0000000046,mushroom,22.000000,4.84,0.066,0.726,0.682
dish_1563468327,ingr_0000000192,yam,46.226414,57.366979774,0.092452828,13.590565716,0.739622624
dish_1563468327,ingr_0000000437,sweet potato,46.226414,35.13207464,0.0,8.32075452,0.46226414
dish_1563468327,ingr_0000000001,cottage cheese,83.000000,81.34,3.569,2.822,9.13
dish_1563468327,ingr_0000000038,pineapple,107.000000,53.5,0.107,13.91,0.535
dish_1563468327,ingr_0000000121,watermelon,132.000000,39.6,0.264,10.032,0.792
dish_1563468327,ingr_0000000161,olive oil,5.547170,49.0369828,5.54717,0.0,0.0
dish_1563468327,ingr_0000000013,berries,63.000000,35.91,0.189,8.82,0.441
dish_1562862493,ingr_0000000008,scrambled eggs,134.000000,198.32,14.74,2.144,13.4
dish_1563824250,ingr_0000000094,onions,43.000000,17.2,0.043,3.87,0.473
dish_1565119669,ingr_0000000072,kale,39.000000,19.11,0.273,3.51,1.287
dish_1565119669,ingr_0000000485,zucchini,75.500000,11.325,0.302,2.0385,0.8305
dish_1565119669,ingr_0000000517,chard,39.000000,7.41,0.078,1.443,0.702
dish_1565119669,ingr_0000000529,chayote squash,75.500000,18.12,0.3775,3.8505,0.453
dish_1562789268,ingr_0000000462,pork,76.447876,181.94594488,10.70270264,0.0,19.87644776
dish_1562789268,ingr_0000000205,corn on the cob,196.000000,207.956,4.704,43.12,6.076
dish_1562789268,ingr_0000000023,brown rice,10.193050,11.3142855,0.09173745,2.3444015,0.2650193
dish_1562789268,ingr_0000000520,lemon juice,0.509652,0.08664084,0.0,0.028540512,0.002038608
dish_1562789268,ingr_0000000524,parsley,0.254826,0.094540446,0.002038608,0.016308864,0.007389954
dish_1562789268,ingr_0000000521,basil,0.254826,0.06115824,0.0,0.00509652,0.01019304
dish_1562789268,ingr_0000000133,shallots,0.509652,0.1019304,0.001019304,0.016818516,0.00764478
dish_1562789268,ingr_0000000471,cherry tomatoes,2.548263,0.45868734,0.005096526,0.099382257,0.022934367
dish_1562789268,ingr_0000000011,cheese pizza,55.000000,146.245,5.17,18.425,6.16
dish_1562789268,ingr_0000000312,pepper,1.019305,0.407722,0.00203861,0.094795365,0.0203861
dish_1562789268,ingr_0000000291,salt,0.127413,0.0,0.0,0.0,0.0
dish_1562789268,ingr_0000000189,vinegar,0.509652,0.0,0.0,0.0,0.0
dish_1562789268,ingr_0000000161,olive oil,2.038610,18.0213124,2.03861,0.0,0.0
dish_1562789268,ingr_0000000094,onions,1.019305,0.407722,0.001019305,0.09173745,0.011212355
dish_1562789268,ingr_0000000122,garlic,1.019305,1.51876445,0.005096525,0.33637065,0.06523552
dish_1562789268,ingr_0000000027,broccoli,2.548263,0.89189205,0.010193052,0.17837841,0.061158312
dish_1559678330,ingr_0000000161,olive oil,15.686275,138.666671,15.686275,0.0,0.0
dish_1559678330,ingr_0000000036,spinach (raw),78.431374,18.03921602,0.313725496,2.823529464,2.274509846
dish_1559678330,ingr_0000000189,vinegar,7.843137,0.0,0.0,0.0,0.0
dish_1559678330,ingr_0000000032,tomatoes,9.803922,3.33333348,0.068627454,0.666666696,0.068627454
dish_1559678330,ingr_0000000122,garlic,1.470588,2.19117612,0.00735294,0.48529404,0.094117632
dish_1559678330,ingr_0000000031,cucumbers,15.686275,1.5686275,0.0,0.3137255,0.15686275
dish_1559678330,ingr_0000000291,salt,0.490196,0.0,0.0,0.0,0.0
dish_1559678330,ingr_0000000126,mustard,0.980392,0.600980296,0.032352936,0.05882352,0.036274504
dish_1559678330,ingr_0000000526,mustard greens,19.607843,5.29411761,0.078431372,0.921568621,0.568627447
dish_1565033110,ingr_0000000027,broccoli,92.000000,32.2,0.368,6.44,2.208
dish_1565033110,ingr_0000000029,mixed greens,55.000000,15.4,0.22,2.915,1.21
dish_1564082178,ingr_0000000517,chard,6.884273,1.30801187,0.013768546,0.254718101,0.123916914
dish_1564082178,ingr_0000000516,rosemary,0.344214,0.45092034,0.019620198,0.0688428,0.009982206
dish_1564082178,ingr_0000000122,garlic,1.376855,2.05151395,0.006884275,0.45436215,0.08811872
dish_1564082178,ingr_0000000291,salt,1.376855,0.0,0.0,0.0,0.0
dish_1564082178,ingr_0000000028,chicken,275.370941,454.36205265,9.913353876,0.0,85.36499171
dish_1564082178,ingr_0000000520,lemon juice,1.032641,0.17554897,0.0,0.057827896,0.004130564
dish_1564082178,ingr_0000000527,chive,0.344214,0.1032642,0.002409498,0.015145416,0.011359062
dish_1564082178,ingr_0000000045,carrot,27.537092,11.29020772,0.055074184,2.7537092,0.247833828
dish_1564082178,ingr_0000000161,olive oil,5.507418,48.68557512,5.507418,0.0,0.0
dish_1564082178,ingr_0000000524,parsley,0.344214,0.127703394,0.002753712,0.022029696,0.009982206
dish_1564082178,ingr_0000000521,basil,0.344214,0.08261136,0.0,0.00688428,0.01376856
dish_1564082178,ingr_0000000023,brown rice,27.537092,30.56617212,0.247833828,6.33353116,0.715964392
dish_1558721757,ingr_0000000077,almonds,133.000000,768.873,65.835,30.191,29.792
dish_1551492702,ingr_0000000007,cauliflower,114.000000,28.5,0.342,5.7,2.052
dish_1558376306,ingr_0000000039,sausage,108.000000,372.168,29.484,4.536,20.844
dish_1558724959,ingr_0000000016,brussels sprouts,118.000000,50.74,0.354,10.62,4.012
dish_1558724959,ingr_0000000045,carrot,75.000000,30.75,0.15,7.5,0.675
dish_1558724959,ingr_0000000077,almonds,72.000000,416.232,35.64,16.344,16.128
dish_1558724959,ingr_0000000054,apple,161.000000,83.72,0.322,22.54,0.483
dish_1551222877,ingr_0000000060,tortilla,48.000000,104.64,1.392,21.6,2.88
dish_1551223114,ingr_0000000060,tortilla,48.000000,104.64,1.392,21.6,2.88
dish_1551223114,ingr_0000000045,carrot,16.000000,6.56,0.032,1.6,0.144
dish_1551223114,ingr_0000000027,broccoli,38.000000,13.3,0.152,2.66,0.912
dish_1566502211,ingr_0000000006,caesar salad,237.000000,104.28,4.977,10.191,7.584
dish_1561753238,ingr_0000000161,olive oil,4.618317,40.82592228,4.618317,0.0,0.0
dish_1561753238,ingr_0000000515,arugula,4.144922,1.0362305,0.029014454,0.153362114,0.107767972
dish_1561753238,ingr_0000000023,brown rice,20.724611,23.00431821,0.186521499,4.76666053,0.538839886
dish_1561753238,ingr_0000000312,pepper,12.472292,4.9889168,0.024944584,1.159923156,0.24944584
dish_1561753238,ingr_0000000021,squash,68.064117,13.953143985,0.204192351,2.314179978,0.612577053
dish_1561753238,ingr_0000000072,kale,18.227848,8.93164552,0.127594936,1.64050632,0.601518984
dish_1561753238,ingr_0000000332,salmon,103.623055,184.4490379,8.2898444,0.0,24.8695332
dish_1561753238,ingr_0000000524,parsley,0.683544,0.253594824,0.005468352,0.043746816,0.019822776
dish_1561753238,ingr_0000000122,garlic,0.911392,1.35797408,0.00455696,0.30075936,0.058329088
dish_1561753238,ingr_0000000520,lemon juice,7.291140,1.2394938,0.0,0.40830384,0.02916456
dish_1561753238,ingr_0000000291,salt,0.969994,0.0,0.0,0.0,0.0
dish_1561753238,ingr_0000000522,tatsoi,72.911392,16.04050624,0.218734176,2.843544288,1.604050624
dish_1561753238,ingr_0000000518,thyme,0.129529,0.13082429,0.002201993,0.03108696,0.00777174
dish_1561753238,ingr_0000000031,cucumbers,18.227848,1.8227848,0.0,0.36455696,0.18227848
dish_1551125357,ingr_0000000032,tomatoes,68.000000,23.12,0.476,4.624,0.476
dish_1551389684,ingr_0000000014,asparagus,33.000000,6.732,0.033,1.287,0.726
dish_1567628157,ingr_0000000535,green onions,1.745597,0.55859104,0.003491194,0.12219179,0.031420746
dish_1567628157,ingr_0000000049,fish,174.559692,157.1037228,22.69275996,0.0,32.118983328
dish_1567628157,ingr_0000000054,apple,8.513120,4.4268224,0.01702624,1.1918368,0.02553936
dish_1567628157,ingr_0000000515,arugula,17.026239,4.25655975,0.119183673,0.629970843,0.442682214
dish_1567628157,ingr_0000000094,onions,6.982388,2.7929552,0.006982388,0.62841492,0.076806268
dish_1567628157,ingr_0000000517,chard,29.500000,5.605,0.059,1.0915,0.531
dish_1567628157,ingr_0000000534,country rice,34.911938,53.0801105352,2.374011784,11.032172408,1.3476008068
dish_1567628157,ingr_0000000473,cranberries,1.702624,0.78320704,0.001702624,0.20431488,0.00851312
dish_1567628157,ingr_0000000520,lemon juice,0.851312,0.14472304,0.0,0.047673472,0.003405248
dish_1567628157,ingr_0000000122,garlic,1.298454,1.93469646,0.00649227,0.42848982,0.083101056
dish_1567628157,ingr_0000000291,salt,0.649227,0.0,0.0,0.0,0.0
dish_1567628157,ingr_0000000524,parsley,1.702624,0.631673504,0.013620992,0.108967936,0.049376096
dish_1567628157,ingr_0000000072,kale,29.500000,14.455,0.2065,2.655,0.9735
dish_1567628157,ingr_0000000161,olive oil,10.301689,91.06693076,10.301689,0.0,0.0
dish_1567628157,ingr_0000000526,mustard greens,25.539358,6.89562666,0.102157432,1.200349826,0.740641382
dish_1567628157,ingr_0000000133,shallots,1.702624,0.3405248,0.003405248,0.056186592,0.02553936
dish_1567628157,ingr_0000000153,bulgur,8.513120,29.1148704,0.11067056,6.4699712,1.0215744
dish_1550863247,ingr_0000000054,apple,33.000000,17.16,0.066,4.62,0.099
dish_1560368972,ingr_0000000462,pork,50.965252,121.29729976,7.13513528,0.0,13.25096552
dish_1560368972,ingr_0000000471,cherry tomatoes,1.698842,0.30579156,0.003397684,0.066254838,0.015289578
dish_1560368972,ingr_0000000122,garlic,0.679537,1.01251013,0.003397685,0.22424721,0.043490368
dish_1560368972,ingr_0000000133,shallots,0.339768,0.0679536,0.000679536,0.011212344,0.00509652
dish_1560368972,ingr_0000000026,white rice,41.000000,53.3,0.123,11.48,1.107
dish_1560368972,ingr_0000000291,salt,0.084942,0.0,0.0,0.0,0.0
dish_1560368972,ingr_0000000094,onions,0.679537,0.2718148,0.000679537,0.06115833,0.007474907
dish_1560368972,ingr_0000000521,basil,0.169884,0.04077216,0.0,0.00339768,0.00679536
dish_1560368972,ingr_0000000161,olive oil,1.359073,12.01420532,1.359073,0.0,0.0
dish_1560368972,ingr_0000000023,brown rice,6.795367,7.54285737,0.061158303,1.56293441,0.176679542
dish_1560368972,ingr_0000000189,vinegar,0.339768,0.0,0.0,0.0,0.0
dish_1560368972,ingr_0000000312,pepper,0.679537,0.2718148,0.001359074,0.063196941,0.01359074
dish_1560368972,ingr_0000000027,broccoli,1.698842,0.5945947,0.006795368,0.11891894,0.040772208
dish_1560368972,ingr_0000000520,lemon juice,0.339768,0.05776056,0.0,0.019027008,0.001359072
dish_1560368972,ingr_0000000524,parsley,0.169884,0.063026964,0.001359072,0.010872576,0.004926636
dish_1551380950,ingr_0000000052,cheese,21.000000,84.42,6.93,0.273,5.25
dish_1559319860,ingr_0000000004,bacon,13.000000,70.33,5.46,0.182,4.81
dish_1563824339,ingr_0000000094,onions,43.000000,17.2,0.043,3.87,0.473
dish_1563824339,ingr_0000000471,cherry tomatoes,53.000000,9.54,0.106,2.067,0.477
dish_1563824339,ingr_0000000012,olives,36.000000,41.4,3.852,2.268,0.288
dish_1563824339,ingr_0000000033,bell peppers,43.000000,17.2,0.086,3.87,0.86
dish_1551306452,ingr_0000000063,bean(seed),70.000000,98.0,0.42,16.8,6.3
dish_1562086702,ingr_0000000004,bacon,33.000000,178.53,13.86,0.462,12.21
dish_1560973958,ingr_0000000514,wheat berry,77.000000,70.07,0.385,14.707,3.234
dish_1560973958,ingr_0000000161,olive oil,3.654770,32.3081668,3.65477,0.0,0.0
dish_1560973958,ingr_0000000126,mustard,0.228423,0.140023299,0.007537959,0.01370538,0.008451651
dish_1560973958,ingr_0000000082,pecans,2.741077,18.9134313,1.97357544,0.38375078,0.24669693
dish_1560973958,ingr_0000000367,lime,0.685269,0.2055807,0.001370538,0.071953245,0.004796883
dish_1560973958,ingr_0000000291,salt,0.114212,0.0,0.0,0.0,0.0
dish_1560973958,ingr_0000000129,raisins,4.568462,13.65970138,0.02284231,3.60908498,0.141622322
dish_1560973958,ingr_0000000312,pepper,0.028553,0.0114212,5.7106e-05,0.002655429,0.00057106
dish_1560973958,ingr_0000000515,arugula,22.842310,5.7105775,0.15989617,0.84516547,0.59390006
dish_1560973958,ingr_0000000058,orange,9.136924,4.29435428,0.009136924,1.09643088,0.082232316
dish_1563206582,ingr_0000000192,yam,32.075470,39.80565827,0.06415094,9.43018818,0.51320752
dish_1563206582,ingr_0000000128,egg whites,252.000000,131.04,0.504,1.764,25.2
dish_1563206582,ingr_0000000161,olive oil,3.849057,34.02566388,3.849057,0.0,0.0
dish_1563206582,ingr_0000000437,sweet potato,32.075470,24.3773572,0.0,5.7735846,0.3207547
dish_1565207815,ingr_0000000016,brussels sprouts,78.720787,33.84993841,0.236162361,7.08487083,2.676506758
dish_1565207815,ingr_0000000291,salt,0.393604,0.0,0.0,0.0,0.0
dish_1565207815,ingr_0000000312,pepper,0.098401,0.0393604,0.000196802,0.009151293,0.00196802
dish_1565207815,ingr_0000000161,olive oil,0.787208,6.95891872,0.787208,0.0,0.0
dish_1551236712,ingr_0000000058,orange,69.000000,32.43,0.069,8.28,0.621
dish_1568305257,ingr_0000000080,turkey bacon,82.000000,311.354,23.042,2.542,23.862
dish_1568305257,ingr_0000000291,salt,0.375758,0.0,0.0,0.0,0.0
