Dish ID,Total Mass (grams),Total Calories (kcal),Total Fat (grams),Total Carbs (grams),Total Protein (grams),Number of Ingredients,Ingredients
dish_1550705370,49.000000,122.500000,7.350000,0.000000,12.740000,1,beef
dish_1550705445,40.000000,4.000000,0.000000,0.800000,0.400000,1,cucumbers
dish_1550705623,51.000000,20.400000,0.102000,4.590000,1.020000,1,bell peppers
dish_1550705888,93.000000,71.610000,0.093000,15.810000,1.860000,1,potatoes
dish_1550706096,45.000000,18.000000,0.090000,4.050000,0.900000,1,bell peppers
dish_1550706325,182.000000,180.280000,2.799000,31.116000,8.259000,3,bell peppers|bread|tomatoes
dish_1550706766,325.000000,279.900000,5.703000,6.150000,49.262000,3,cauliflower|chicken|cucumbers
dish_1550707056,117.000000,403.182000,31.941000,4.914000,22.581000,1,sausage
dish_1550708327,170.000000,67.070000,3.149000,6.175000,5.513000,3,cucumbers|tofu|tomatoes
dish_1550708487,34.000000,136.680000,11.220000,0.442000,8.500000,1,cheese
dish_1550708945,37.000000,92.500000,5.550000,0.000000,9.620000,1,beef
dish_1550710207,91.000000,150.150000,3.276000,0.000000,28.210000,1,chicken
dish_1550710507,60.000000,20.400000,0.420000,4.080000,0.420000,1,tomatoes
dish_1550710577,202.000000,88.060000,3.861000,9.103000,7.130000,3,cauliflower|tofu|tomatoes
dish_1550711094,105.000000,106.500000,4.466000,8.280000,8.520000,3,beef|bell peppers|pineapple
dish_1550711244,174.000000,118.320000,2.436000,20.880000,4.176000,1,oatmeal
dish_1550711598,91.000000,22.750000,0.273000,4.550000,1.638000,1,cauliflower
dish_1550712403,25.000000,100.500000,8.250000,0.325000,6.250000,1,cheese
dish_1550712622,151.000000,245.620000,19.544000,13.500000,8.870000,3,bell peppers|cucumbers|nuts
dish_1550712729,92.000000,317.032000,25.116000,3.864000,17.756000,1,sausage
dish_1550713388,47.000000,77.550000,1.692000,0.000000,14.570000,1,chicken
dish_1550713462,61.000000,44.530000,2.928000,1.159000,4.880000,1,tofu
dish_1550713503,190.000000,130.280000,4.620000,2.799000,20.270000,3,chicken|cucumbers|tofu
dish_1550769882,192.000000,200.130000,9.096000,19.914000,9.930000,3,bacon|cantaloupe|potatoes
dish_1550770482,213.000000,346.388000,24.707000,12.324000,18.947000,3,broccoli|sausage|tomatoes
dish_1550771707,108.000000,307.040000,24.280000,18.440000,8.360000,3,cucumbers|nuts|potato chips
dish_1550772753,102.000000,351.492000,27.846000,4.284000,19.686000,1,sausage
dish_1550772809,95.000000,54.150000,0.285000,13.300000,0.665000,1,berries
dish_1550772849,216.000000,507.482000,34.781000,27.654000,21.681000,3,berries|potato chips|sausage
dish_1550773284,153.000000,264.620000,20.615000,15.776000,9.215000,3,broccoli|nuts|tomatoes
dish_1550773430,61.000000,90.280000,6.710000,0.976000,6.100000,1,scrambled eggs
dish_1550773771,52.000000,40.040000,0.052000,8.840000,1.040000,1,potatoes
dish_1550774815,57.000000,32.490000,0.171000,7.980000,0.399000,1,berries
dish_1550777124,53.000000,5.300000,0.000000,1.060000,0.530000,1,cucumbers
dish_1550777511,121.000000,291.940000,21.570000,21.420000,7.460000,3,cantaloupe|nuts|potato chips
dish_1550777713,62.000000,21.080000,0.124000,4.960000,0.496000,1,cantaloupe
dish_1550777791,65.000000,50.050000,0.065000,11.050000,1.300000,1,potatoes
dish_1550778118,184.000000,136.840000,8.895000,5.528000,8.725000,3,cucumbers|scrambled eggs|tomatoes
dish_1550778172,184.000000,136.840000,8.895000,5.528000,8.725000,3,cucumbers|scrambled eggs|tomatoes
dish_1550778535,10.000000,53.600000,3.500000,5.300000,0.700000,1,potato chips
dish_1550778646,166.000000,160.120000,3.792000,29.780000,2.936000,3,berries|potato chips|potatoes
dish_1550778856,12.000000,64.920000,5.040000,0.168000,4.440000,1,bacon
dish_1550779058,111.000000,253.920000,21.240000,7.848000,11.130000,3,bacon|cucumbers|nuts
dish_1550781347,184.000000,94.630000,0.646000,20.094000,3.393000,3,broccoli|potatoes|tomatoes
dish_1550781372,184.000000,94.630000,0.646000,20.094000,3.393000,3,broccoli|potatoes|tomatoes
dish_1550785292,45.000000,12.600000,0.180000,2.385000,0.990000,1,mixed greens
dish_1550785876,58.000000,145.000000,8.700000,0.000000,15.080000,1,beef
dish_1550789186,43.000000,15.050000,0.172000,3.010000,1.032000,1,broccoli
dish_1550789601,69.000000,62.100000,8.970000,0.000000,12.696000,1,fish
dish_1550789860,241.000000,393.700000,22.716000,22.960000,38.310000,3,beef|fish|white rice
dish_1550790252,51.000000,45.900000,6.630000,0.000000,9.384000,1,fish
dish_1550790874,35.000000,87.500000,5.250000,0.000000,9.100000,1,beef
dish_1550791701,66.000000,23.100000,0.264000,4.620000,1.584000,1,broccoli
dish_1550793582,52.000000,67.600000,0.156000,14.560000,1.404000,1,white rice
dish_1550793621,201.000000,253.050000,9.804000,20.650000,19.612000,3,beef|broccoli|white rice
dish_1550795455,395.000000,218.110000,0.719000,55.330000,3.106000,3,apple|bell peppers|potatoes
dish_1550795856,95.000000,44.650000,0.095000,11.400000,0.855000,1,orange
dish_1550797031,59.000000,20.060000,0.413000,4.012000,0.413000,1,tomatoes
dish_1550797474,39.000000,18.330000,0.039000,4.680000,0.351000,1,orange
dish_1550859356,58.000000,199.868000,15.834000,2.436000,11.194000,1,sausage
dish_1550859578,145.000000,327.178000,21.368000,15.198000,17.484000,3,bacon|potatoes|sausage
dish_1550859622,145.000000,327.178000,21.368000,15.198000,17.484000,3,bacon|potatoes|sausage
dish_1550859977,83.000000,56.440000,1.162000,9.960000,1.992000,1,oatmeal
dish_1550860513,236.000000,207.320000,5.252000,32.472000,8.032000,3,bacon|oatmeal|potatoes
dish_1550860919,161.000000,91.770000,0.483000,22.540000,1.127000,1,berries
dish_1550861703,278.000000,251.520000,10.964000,30.616000,10.466000,3,apple|banana|scrambled eggs
dish_1550861903,48.000000,71.040000,5.280000,0.768000,4.800000,1,scrambled eggs
dish_1550862106,143.000000,117.090000,5.403000,12.728000,5.487000,3,apple|orange|scrambled eggs
dish_1550862217,166.000000,147.740000,0.498000,38.180000,1.826000,1,banana
dish_1550862840,33.000000,16.500000,0.033000,4.290000,0.165000,1,pineapple
dish_1550863037,116.000000,60.310000,0.212000,15.210000,0.816000,3,berries|orange|pineapple
dish_1550863078,116.000000,60.310000,0.212000,15.210000,0.816000,3,berries|orange|pineapple
dish_1550863247,33.000000,17.160000,0.066000,4.620000,0.099000,1,apple
dish_1550873303,233.000000,205.650000,8.244000,14.310000,20.150000,3,avocado|cantaloupe|chicken
dish_1550874756,127.000000,85.920000,5.656000,10.540000,8.744000,3,fish|potatoes|tomatoes
dish_1550875347,169.000000,217.380000,18.418000,7.188000,18.688000,3,cantaloupe|cheese|fish
dish_1550875400,169.000000,217.380000,18.418000,7.188000,18.688000,3,cantaloupe|cheese|fish
dish_1550875968,41.000000,13.940000,0.082000,3.280000,0.328000,1,cantaloupe
dish_1550876055,215.000000,253.520000,4.456000,12.460000,38.608000,3,cantaloupe|chicken|potatoes
dish_1550876416,120.000000,159.470000,7.681000,7.230000,16.559000,3,avocado|chicken|orange
dish_1550876619,30.000000,10.200000,0.210000,2.040000,0.210000,1,tomatoes
dish_1550876969,66.000000,108.940000,8.670000,3.971000,4.840000,3,avocado|cheese|tomatoes
dish_1551123396,65.000000,32.500000,0.065000,8.450000,0.325000,1,pineapple
dish_1551123986,47.000000,15.980000,0.329000,3.196000,0.329000,1,tomatoes
dish_1551124062,56.000000,82.880000,6.160000,0.896000,5.600000,1,scrambled eggs
dish_1551124157,168.000000,143.060000,7.399000,11.892000,7.489000,3,oatmeal|scrambled eggs|tomatoes
dish_1551125305,16.000000,4.480000,0.064000,0.848000,0.352000,1,mixed greens
dish_1551125357,68.000000,23.120000,0.476000,4.624000,0.476000,1,tomatoes
dish_1551134138,238.000000,194.340000,9.783000,17.922000,9.641000,3,cantaloupe|pineapple|scrambled eggs
dish_1551134622,41.000000,56.580000,0.861000,10.250000,1.845000,1,noodles
dish_1551135297,75.000000,25.500000,0.525000,5.100000,0.525000,1,tomatoes
dish_1551135656,47.000000,15.980000,0.329000,3.196000,0.329000,1,tomatoes
dish_1551135718,143.000000,89.880000,9.609000,5.446000,13.893000,3,bell peppers|fish|tomatoes
dish_1551135896,58.000000,24.940000,0.174000,5.220000,1.972000,1,brussels sprouts
dish_1551136610,47.000000,64.860000,0.987000,11.750000,2.115000,1,noodles
dish_1551137091,60.000000,159.240000,2.520000,25.380000,8.100000,1,bread
dish_1551137348,124.000000,202.640000,2.620000,34.856000,9.404000,3,bread|mixed greens|potatoes
dish_1551138180,67.000000,22.780000,0.469000,4.556000,0.469000,1,tomatoes
dish_1551139576,153.000000,59.100000,0.362000,13.140000,3.088000,3,bell peppers|brussels sprouts|cantaloupe
dish_1551141747,148.000000,134.780000,8.978000,15.190000,14.114000,3,bell peppers|fish|noodles
dish_1551141931,62.000000,21.080000,0.124000,4.960000,0.496000,1,cantaloupe
dish_1551142046,165.000000,151.920000,9.546000,7.274000,9.392000,3,cantaloupe|mixed greens|scrambled eggs
dish_1551221892,176.000000,138.870000,7.127000,20.150000,12.066000,3,cauliflower|fish|tortilla
dish_1551222363,45.000000,62.100000,0.945000,11.250000,2.025000,1,noodles
dish_1551222877,48.000000,104.640000,1.392000,21.600000,2.880000,1,tortilla
dish_1551223114,102.000000,124.500000,1.576000,25.860000,3.936000,3,broccoli|carrot|tortilla
dish_1551223346,147.000000,229.416000,3.528000,38.502000,10.320000,3,bread|cucumbers|noodles
dish_1551223394,147.000000,229.416000,3.528000,38.502000,10.320000,3,bread|cucumbers|noodles
dish_1551224001,78.000000,33.540000,0.234000,7.020000,2.652000,1,brussels sprouts
dish_1551224089,29.000000,6.380000,0.087000,0.957000,0.899000,1,mushroom
dish_1551224138,55.000000,22.000000,0.110000,4.950000,1.100000,1,bell peppers
dish_1551224208,162.000000,61.920000,0.431000,12.927000,4.651000,3,bell peppers|brussels sprouts|mushroom
dish_1551224380,29.000000,76.966000,1.218000,12.267000,3.915000,1,bread
dish_1551224447,93.000000,83.700000,12.090000,0.000000,17.112000,1,fish
dish_1551224534,229.000000,187.416000,13.629000,17.617000,22.953000,3,bread|cauliflower|fish
dish_1551224689,42.000000,4.200000,0.000000,0.840000,0.420000,1,cucumbers
dish_1551225106,251.000000,149.560000,1.452000,33.360000,3.825000,3,apple|cauliflower|noodles
dish_1551225155,251.000000,149.560000,1.452000,33.360000,3.825000,3,apple|cauliflower|noodles
