ingredient,calories_per_g,fat_per_g,carbs_per_g,protein_per_g,fiber_per_g,source,usda_fdc_id,usda_description,csv_calories_per100g,usda_calories_per100g,calorie_diff_pct,reason
agave nectar,3.1,0.005,0.763,0.001,0.002,usda,170277,"Sweetener, syrup, agave",310.0,310,0.0%,
alcohol,0.43,0.0,0.026,0.0,0.0,usda,174145,"Alcoholic beverage, beer, light, higher alcohol",43.0,46.0,7.0%,
alfalfa,0.23,0.007,0.022,0.04,0.019,usda,168384,"Alfalfa seeds, sprouted, raw",23.0,23.0,0.0%,
almond butter,6.14,0.559,0.189,0.21,0.104,usda,2261420,"Flour, almond",614.0,622,1.3%,
almonds,5.79,0.498,0.217,0.212,0.125,usda,170567,"Nuts, almonds",579.0,579,0.0%,
american cheese,3.07,0.239,0.046,0.183,0.0,usda,2647439,"Cheese, pasteurized process cheese food or product, American, singles",307.0,310,1.0%,
anchovies,2.1,0.097,0.0,0.289,0.0,usda,174183,"Fish, anchovy, european, canned in oil, drained solids",210.0,210,0.0%,
apple,0.52,0.002,0.138,0.003,0.024,usda,171689,"Apples, raw, without skin",52.0,48.0,7.7%,
apple cider,0.48,0.001,0.117,0.001,0.001,usda,170959,"Babyfood, juice, apple",48.0,47.0,2.1%,
apple juice,0.46,0.001,0.114,0.001,0.002,usda,171381,"Babyfood, juice, apple and grape",46.0,46.0,0.0%,
apple pie,2.37,0.11,0.34,0.019,0.015,usda,175011,"Pie, apple, commercially prepared, enriched flour",237.0,237,0.0%,
apricots,0.48,0.004,0.111,0.014,0.02,usda,2710815,"Apricot, with skin, raw",48.0,48.4,0.8%,
artichokes,0.47,0.002,0.107,0.033,0.054,usda,169311,"Artichokes, (globe or french), cooked, boiled, drained, with salt",47.0,51.0,8.5%,
asparagus,0.2,0.001,0.039,0.022,0.021,usda,169313,"Asparagus, cooked, boiled, drained, with salt",20.0,22.0,10.0%,
avocado,1.6,0.147,0.085,0.02,0.067,usda,171705,"Avocados, raw, all commercial varieties",160.0,160,0.0%,
bagels,2.57,0.013,0.501,0.1,0.022,usda,172666,"Bagels, oat bran",257.0,255,0.8%,
baked potatoes,0.93,0.001,0.213,0.025,0.022,usda,170093,"Potatoes, baked, flesh and skin, without salt",93.0,93.0,0.0%,
balsamic vinegar,0.88,0.0,0.171,0.005,0.0,usda,173469,"Vinegar, cider",88.0,90.0,2.3%,
banana,0.89,0.003,0.228,0.011,0.026,usda,173944,"Bananas, raw",89.0,89.0,0.0%,
banana with peel,0.89,0.003,0.228,0.011,0.026,usda,169103,"Orange peel, raw",89.0,97.0,9.0%,
barbecue sauce,1.72,0.006,0.407,0.011,0.006,usda,171829,"Sauce, barbecue, KC MASTERPIECE, original",172.0,160,7.0%,
barley,3.54,0.023,0.734,0.124,0.172,usda,170283,"Barley, hulled",354.0,354,0.0%,
bean sprouts,0.31,0.002,0.058,0.031,0.018,usda,169213,"Beans, kidney, mature seeds, sprouted, raw",31.0,29.0,6.5%,
bean(seed),3.47,0.015,0.63,0.213,0.155,usda,173751,"Beans, yellow, mature seeds, raw",347.0,345,0.6%,
beef,2.5,0.15,0.0,0.26,0.0,usda,170602,"Beef, cured, corned beef, canned",250.0,250,0.0%,
beer,0.43,0.0,0.036,0.005,0.0,usda,168746,"Alcoholic beverage, beer, regular, all",43.0,43.0,0.0%,
beets,0.43,0.002,0.097,0.016,0.028,usda,169145,"Beets, raw",43.0,43.0,0.0%,
bison,1.43,0.028,0.0,0.286,0.0,usda,173852,"Game meat, bison, separable lean only, cooked, roasted",143.0,143,0.0%,
black beans,1.32,0.005,0.239,0.088,0.087,usda,175237,"Beans, black, mature seeds, cooked, boiled, with salt",132.0,132,0.0%,
blue cheese,3.53,0.289,0.024,0.214,0.0,usda,171966,"Crustaceans, crab, blue, canned",353.0,347,1.7%,
blueberries,0.57,0.003,0.144,0.007,0.024,usda,171711,"Blueberries, raw",57.0,57.0,0.0%,
blueberry pie,2.32,0.1,0.35,0.02,0.012,usda,172778,"Pie, blueberry, commercially prepared",232.0,232,0.0%,
bok choy,0.13,0.002,0.022,0.015,0.01,usda,170390,"Cabbage, chinese (pak-choi), raw",13.0,13.0,0.0%,
brazil nuts,6.59,0.672,0.12,0.143,0.076,usda,170591,"Nuts, pine nuts, dried",659.0,673,2.1%,
bread,2.66,0.032,0.491,0.089,0.027,usda,172678,"Bread, oatmeal",266.0,269,1.1%,
bread crumbs,3.95,0.054,0.722,0.132,0.044,usda,167944,"Bread, cheese",395.0,408,3.3%,
brisket,2.46,0.147,0.0,0.268,0.0,usda,170200,"Beef, cured, corned beef, brisket, cooked",246.0,251,2.0%,
broccoli,0.34,0.004,0.066,0.028,0.026,usda,170379,"Broccoli, raw",34.0,34.0,0.0%,
brown sugar,3.8,0.0,0.982,0.001,0.0,usda,174659,"Cereals ready-to-eat, QUAKER, Maple Brown Sugar LIFE Cereal",380.0,373,1.8%,
brownies,4.05,0.179,0.582,0.05,0.019,usda,172713,"Cookies, brownies, commercially prepared",405.0,405,0.0%,
brussels sprouts,0.43,0.003,0.089,0.034,0.038,usda,170383,"Brussels sprouts, raw",43.0,43.0,0.0%,
bulgur,0.83,0.002,0.189,0.031,0.046,usda,170287,"Bulgur, cooked",83.0,83.0,0.0%,
buns,2.79,0.046,0.491,0.089,0.02,usda,172084,"Fast foods, cheeseburger; double, regular patty; double decker bun with condiments and special sauce",279.0,261,6.5%,
burgers,2.95,0.174,0.037,0.268,0.0,usda,170731,"BURGER KING, Chicken Strips",295.0,292,1.0%,
burritos,1.8,0.071,0.218,0.075,0.025,usda,170735,"TACO BELL, BURRITO SUPREME with beef",180.0,183,1.7%,
butter,7.17,0.813,0.001,0.009,0.0,usda,168816,"Fruit butters, apple",717.0,724,1.0%,
buttermilk,0.4,0.009,0.048,0.033,0.0,usda,170874,"Milk, buttermilk, fluid, cultured, lowfat",40.0,40.0,0.0%,
cakes,3.57,0.149,0.504,0.052,0.008,usda,172699,"Cake, coffeecake, cheese",357.0,339,5.0%,
camembert cheese,3.0,0.244,0.005,0.198,0.0,usda,172178,"Cheese, camembert",300.0,300,0.0%,
candies,4.66,0.195,0.706,0.041,0.008,usda,167985,"Candies, 5TH AVENUE Candy Bar",466.0,482,3.4%,
carp,1.27,0.056,0.0,0.179,0.0,usda,171952,"Fish, carp, raw",127.0,127,0.0%,
carrot,0.41,0.002,0.096,0.009,0.028,usda,2258587,"Carrots, baby, raw",41.0,40.8,0.5%,
carrot cake,3.83,0.17,0.54,0.042,0.012,usda,174932,"Cake, pudding-type, carrot, dry mix",383.0,415,8.4%,
cashews,5.53,0.438,0.303,0.182,0.033,usda,170162,"Nuts, cashew nuts, raw",553.0,553,0.0%,
catfish,1.05,0.028,0.0,0.184,0.0,usda,173714,"Fish, catfish, channel, wild, cooked, dry heat",105.0,105,0.0%,
cauliflower,0.25,0.003,0.05,0.019,0.02,usda,169986,"Cauliflower, raw",25.0,25.0,0.0%,
celery,0.14,0.002,0.03,0.007,0.016,usda,169988,"Celery, raw",14.0,14.0,0.0%,
celery root,0.42,0.003,0.092,0.015,0.018,usda,171871,"Beverages, carbonated, root beer",42.0,41.0,2.4%,
cereal,3.79,0.044,0.842,0.078,0.051,usda,169040,"Cereals ready-to-eat, WEETABIX whole grain cereal",379.0,371,2.1%,
cereal bars,4.07,0.1,0.72,0.055,0.025,usda,174650,Milk and cereal bar,407.0,413,1.5%,
chard,0.19,0.002,0.036,0.018,0.016,usda,169991,"Chard, swiss, raw",19.0,19.0,0.0%,
chayote squash,0.19,0.001,0.044,0.008,0.017,usda,170402,"Chayote, fruit, raw",19.0,19.0,0.0%,
cheddar cheese,4.03,0.331,0.013,0.249,0.0,usda,170899,"Cheese, cheddar, sharp, sliced",403.0,410,1.7%,
cheese,3.56,0.282,0.024,0.227,0.0,usda,172176,"Cheese, brick",356.0,371,4.2%,
cheese pizza,2.66,0.102,0.308,0.113,0.021,usda,172040,"PIZZA HUT 12"" Cheese Pizza, Hand-Tossed Crust",266.0,271,1.9%,
cheeseburgers,3.03,0.145,0.233,0.155,0.012,usda,170294,"Fast foods, cheeseburger; single, large patty; plain",303.0,310,2.3%,
cheesecake,3.21,0.228,0.254,0.057,0.004,usda,172711,"Cake, cheesecake, commercially prepared",321.0,321,0.0%,
cherries,0.63,0.002,0.16,0.011,0.021,usda,171719,"Cherries, sweet, raw",63.0,63.0,0.0%,
cherry pie,2.6,0.11,0.38,0.025,0.01,usda,172780,"Pie, cherry, commercially prepared",260.0,260,0.0%,
chestnuts,2.13,0.022,0.447,0.027,0.082,usda,170164,"Nuts, chestnuts, chinese, raw",213.0,224,5.2%,
chia seeds,4.86,0.306,0.421,0.169,0.343,usda,170554,"Seeds, chia seeds, dried",486.0,486,0.0%,
chicken,2.39,0.137,0.0,0.274,0.0,usda,171624,"Frankfurter, chicken",239.0,223,6.7%,
chicken breast,1.65,0.036,0.0,0.31,0.0,usda,171125,"Chicken, broiler, rotisserie, BBQ, breast, meat and skin",165.0,175,6.1%,
chicken nuggets,2.97,0.17,0.168,0.155,0.009,usda,170795,"School Lunch, chicken nuggets, whole grain breaded",297.0,270,9.1%,
chicken thighs,2.29,0.153,0.0,0.235,0.0,usda,171127,"Chicken, broiler, rotisserie, BBQ, thigh, meat and skin",229.0,226,1.3%,
chicken wings,2.66,0.177,0.0,0.262,0.0,usda,173631,"Chicken, broilers or fryers, wing, meat and skin, cooked, stewed",266.0,249,6.4%,
chickpeas,1.64,0.026,0.274,0.089,0.075,usda,173757,"Chickpeas (garbanzo beans, bengal gram), mature seeds, cooked, boiled, without salt",164.0,164,0.0%,
chips,5.36,0.349,0.499,0.067,0.045,usda,174791,"Snacks, vegetable chips, HAIN CELESTIAL GROUP, TERRA CHIPS",536.0,517,3.5%,
chive,0.3,0.007,0.044,0.033,0.026,usda,169994,"Chives, raw",30.0,30.0,0.0%,
chocolate,5.46,0.31,0.599,0.049,0.07,usda,167571,"Candies, white chocolate",546.0,539,1.3%,
chocolate cake,3.89,0.163,0.573,0.049,0.024,usda,174935,"Cake, pudding-type, chocolate, dry mix",389.0,391,0.5%,
chocolate chip cookies,4.88,0.23,0.64,0.052,0.023,usda,174954,"Cookies, chocolate chip, refrigerated dough, baked",488.0,492,0.8%,
chowders,0.93,0.048,0.087,0.037,0.005,usda,171585,"Soup, chicken corn chowder, chunky, ready-to-serve, single brand",93.0,99.0,6.5%,
cilantro,0.23,0.005,0.037,0.021,0.028,usda,169997,"Coriander (cilantro) leaves, raw",23.0,23.0,0.0%,
clams,0.86,0.01,0.038,0.148,0.0,usda,174556,"CAMPBELL'S CHUNKY, New England Clam Chowder",86.0,81.0,5.8%,
cocoa,2.28,0.138,0.577,0.197,0.333,usda,169594,"Cocoa, dry powder, unsweetened, processed with alkali",228.0,220,3.5%,
coconut milk,1.97,0.214,0.027,0.022,0.0,usda,170173,"Nuts, coconut milk, canned (liquid expressed from grated meat and water)",197.0,197,0.0%,
coconuts,3.54,0.334,0.154,0.033,0.09,usda,170171,"Nuts, coconut cream, canned, sweetened",354.0,357,0.8%,
cod,0.82,0.007,0.0,0.179,0.0,usda,175178,"Fish, cod, Pacific, cooked",82.0,84.0,2.4%,
colby cheese,3.94,0.324,0.027,0.237,0.0,usda,173413,"Cheese, caraway",394.0,376,4.6%,
collards,0.32,0.006,0.057,0.03,0.04,usda,168523,"Collards, cooked, boiled, drained, with salt",32.0,33.0,3.1%,
cookies,4.81,0.23,0.628,0.054,0.019,usda,170975,"Babyfood, cookies",481.0,433,10.0%,
corn chips,5.15,0.259,0.606,0.068,0.049,usda,167538,"Snacks, corn-based, extruded, chips, barbecue-flavor",515.0,523,1.6%,
corn dogs,2.62,0.119,0.319,0.076,0.02,usda,174090,"Rolls, hamburger or hot dog, whole wheat",262.0,269,2.7%,
