ingredient,calories_per_g,fat_per_g,carbs_per_g,protein_per_g,fiber_per_g,source,usda_fdc_id,usda_description,csv_calories_per100g,usda_calories_per100g,calorie_diff_pct,reason
almond milk,0.17,0.011,0.014,0.006,0.002,usda,174832,"Beverages, almond milk, unsweetened, shelf stable",17.0,15.0,11.8%,
applesauce,0.68,0.001,0.171,0.002,0.012,usda,167773,"Applesauce, canned, sweetened, with salt",68.0,76.0,11.8%,
artic char,1.54,0.081,0.0,0.2,0.0,usda,,,,,,no USDA result found
arugula,0.25,0.007,0.036,0.026,0.016,usda,2710822,"Arugula, baby, raw",25.0,31.0,24.0%,
baby carrots,0.35,0.001,0.082,0.006,0.028,usda,2710822,"Arugula, baby, raw",35.0,31.0,11.4%,
bacon,5.41,0.42,0.013,0.37,0.0,usda,169893,"Bacon bits, meatless",541.0,476,12.0%,
baked beans,0.94,0.004,0.167,0.053,0.054,usda,168128,"Beans, baked, canned, no salt added",94.0,105,11.7%,
basil,0.23,0.006,0.027,0.032,0.016,usda,172232,"Basil, fresh",23.0,94.0,308.7%,
bell peppers,0.26,0.003,0.062,0.01,0.018,usda,2258588,"Peppers, bell, green, raw",26.0,22.9,11.9%,
berries,0.57,0.003,0.144,0.007,0.02,usda,171928,"Beverages, V8 SPLASH Juice Drinks, Berry Blend",57.0,29.0,49.1%,
biscuits,3.25,0.128,0.449,0.06,0.012,usda,172070,"McDONALD'S, Sausage Biscuit",325.0,376,15.7%,
blackberries,0.43,0.005,0.097,0.014,0.053,usda,173947,"Blackberry juice, canned",43.0,158,267.4%,
bologna,2.47,0.193,0.052,0.137,0.0,usda,171637,"Bologna, meat and poultry",247.0,281,13.8%,
breadsticks,4.12,0.098,0.686,0.121,0.028,usda,170789,"PIZZA HUT, breadstick, parmesan garlic",412.0,343,16.7%,
brie cheese,3.34,0.279,0.005,0.207,0.0,usda,172178,"Cheese, camembert",334.0,300,10.2%,
broth,0.07,0.002,0.006,0.009,0.0,usda,174536,"Soup, chicken broth, ready-to-serve",7.0,6.0,14.3%,
brown rice,1.12,0.009,0.234,0.025,0.018,usda,169865,"Babyfood, peas and brown rice",112.0,64.0,42.9%,
cabbage,0.25,0.001,0.058,0.013,0.025,usda,2685572,"Cabbage, bok choy, raw",25.0,20.3,18.8%,
caesar dressing,3.25,0.334,0.025,0.02,0.0,usda,171019,"Salad dressing, italian dressing, commercial, regular",325.0,240,26.2%,
caesar salad,1.27,0.095,0.057,0.045,0.012,usda,175160,"Fish, tuna salad",127.0,187,47.2%,
calamari,1.75,0.068,0.078,0.179,0.0,usda,2747671,"Squid (calamari), frozen, tubes only",175.0,43.9,74.9%,
calzones,2.39,0.097,0.261,0.115,0.015,usda,,,,,,no USDA result found
cantaloupe,0.34,0.002,0.082,0.008,0.009,usda,169092,"Melons, cantaloupe, raw",34.0,141,314.7%,
capers,0.23,0.009,0.035,0.024,0.032,usda,172238,"Capers, canned",23.0,96.0,317.4%,
cappuccino,0.31,0.014,0.031,0.017,0.0,usda,,,,,,no USDA result found
challah,2.83,0.054,0.482,0.095,0.017,usda,,,,,,no USDA result found
champagne,0.76,0.0,0.012,0.001,0.0,usda,,,,,,no USDA result found
cherry tomatoes,0.18,0.002,0.039,0.009,0.012,usda,1999634,"Tomato, roma",18.0,22.0,22.2%,
chicken drumsticks,1.72,0.082,0.0,0.244,0.0,usda,2727566,"Chicken, drumstick, meat and skin, raw",172.0,125,27.3%,
chicken salad,1.68,0.109,0.056,0.118,0.005,usda,175160,"Fish, tuna salad",168.0,187,11.3%,
chicken soup,0.58,0.019,0.063,0.035,0.003,usda,173496,"Babyfood, dinner, chicken soup, strained",58.0,50.0,13.8%,
chilaquiles,1.74,0.09,0.16,0.08,0.02,usda,,,,,,no USDA result found
chili,1.18,0.051,0.107,0.079,0.03,usda,175207,"Chili with beans, canned",118.0,103,12.7%,
chimichangas,2.44,0.12,0.24,0.09,0.02,usda,,,,,,no USDA result found
chocolate milk,0.83,0.025,0.105,0.034,0.005,usda,170883,"Milk shakes, thick chocolate",83.0,119,43.4%,
chow mein,1.25,0.046,0.148,0.076,0.019,usda,168084,"Restaurant, Chinese, vegetable chow mein, without meat or noodles",125.0,43.0,65.6%,
chutney,1.85,0.004,0.459,0.004,0.011,usda,,,,,,no USDA result found
cobbler,2.15,0.065,0.37,0.025,0.013,usda,170978,"Babyfood, cherry cobbler, junior",215.0,326,51.6%,
coffee,0.01,0.0,0.0,0.001,0.0,usda,171881,"Beverages, coffee, brewed, breakfast blend",1.0,8.0,700.0%,
coffee creamer,1.95,0.1,0.257,0.01,0.0,usda,175224,"SILK Coffee, soymilk",195.0,259,32.8%,
coleslaw,0.99,0.067,0.095,0.009,0.013,usda,170340,"KFC, Coleslaw",99.0,144,45.5%,
corn,0.86,0.012,0.191,0.032,0.021,usda,168478,"Succotash, (corn and limas), canned, with cream style corn",86.0,77.0,10.5%,
corn nuts,4.63,0.204,0.622,0.087,0.068,usda,170162,"Nuts, cashew nuts, raw",463.0,553,19.4%,
corn starch,3.81,0.001,0.912,0.003,0.009,usda,174099,"Bread, gluten-free, white, made with potato extract, rice starch, and rice flour",381.0,320,16.0%,
cornbread,2.98,0.094,0.451,0.063,0.027,usda,174910,"Bread, cornbread, prepared from recipe, made with low fat (2%) milk",298.0,266,10.7%,
country rice,1.3,0.01,0.281,0.027,0.004,usda,168074,"CRACKER BARREL, country fried shrimp platter",130.0,287,120.8%,
